GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hotel Booking System,com.hotel.controller,AuthController,101,3,4,0,26,1,7,1,5,1
Hotel Booking System,com.hotel.controller,BookingController,354,3,24,0,78,1,22,1,10,1
Hotel Booking System,com.hotel.controller,ReviewController,78,3,8,0,19,1,5,1,1,1
Hotel Booking System,com.hotel.controller,HealthController,28,3,0,0,12,1,3,1,3,1
Hotel Booking System,com.hotel.controller,HotelController,252,3,20,0,43,1,19,1,9,1
Hotel Booking System,com.hotel.controller,HomeController,86,3,6,0,17,1,9,1,6,1
Hotel Booking System,com.hotel.controller,ProfileController,174,3,12,0,44,1,8,1,2,1
Hotel Booking System,com.hotel.dto,ProfileUpdateDTO,38,0,0,0,11,0,11,0,11,0
Hotel Booking System,com.hotel.dto,UserDTO,76,0,0,0,24,0,16,0,16,0
Hotel Booking System,com.hotel.service,ReviewService,50,3,2,0,8,1,8,1,7,1
Hotel Booking System,com.hotel.service,BookingService,73,3,2,0,16,1,7,1,6,1
Hotel Booking System,com.hotel.service,RoomService,27,3,0,0,5,1,5,1,5,1
Hotel Booking System,com.hotel.service,UserService,95,3,8,0,20,1,13,1,9,1
Hotel Booking System,com.hotel.service,HotelService,29,3,0,0,6,1,6,1,6,1
Hotel Booking System,com.hotel.util,DatabaseHealthCheck,11,3,0,0,4,1,1,1,1,1
Hotel Booking System,com.hotel.mapper,UserMapper,22,3,2,0,10,1,2,1,1,1
